source_id,relation,target_id,stage
REQ-APW-001,derives,SYS-PWR-010,requirement
REQ-APW-002,derives,SYS-PWR-011,requirement
REQ-APW-003,derives,GB 11552 / FMVSS 118,requirement
REQ-APW-004,derives,SYS-PWR-012,requirement
REQ-APW-005,derives,SYS-PWR-013,requirement
REQ-APW-006,derives,SYS-PWR-014,requirement
ARC-IF-CMD,satisfies,REQ-APW-005,architecture
ARC-IF-STS,satisfies,REQ-APW-005,architecture
ARC-SWC-CTRL,satisfies,REQ-APW-001,architecture
ARC-SWC-CTRL,satisfies,REQ-APW-002,architecture
ARC-SWC-CTRL,satisfies,REQ-APW-006,architecture
ARC-PORT-CMD,satisfies,REQ-APW-005,architecture
ARC-PORT-STS,satisfies,REQ-APW-005,architecture
ARC-RUN-STEP,satisfies,REQ-APW-004,architecture
DSN-APW-SM,satisfies,REQ-APW-001,detailed_design
DSN-APW-SM,satisfies,REQ-APW-006,detailed_design
DSN-APW-PINCH,satisfies,REQ-APW-002,detailed_design
DSN-APW-PINCH,satisfies,REQ-APW-003,detailed_design
DSN-APW-PINCH,satisfies,REQ-APW-004,detailed_design
DSN-APW-SM,satisfies,REQ-APW-001,coding
DSN-APW-SM,satisfies,REQ-APW-006,coding
DSN-APW-PINCH,satisfies,REQ-APW-002,coding
DSN-APW-PINCH,satisfies,REQ-APW-003,coding
DSN-APW-PINCH,satisfies,REQ-APW-004,coding
DSN-APW-SM,satisfies,REQ-APW-001,code_review
DSN-APW-SM,satisfies,REQ-APW-006,code_review
DSN-APW-PINCH,satisfies,REQ-APW-002,code_review
DSN-APW-PINCH,satisfies,REQ-APW-003,code_review
DSN-APW-PINCH,satisfies,REQ-APW-004,code_review
TC-UT-001,verifies,REQ-APW-001,unit_test
TC-UT-002,verifies,REQ-APW-002,unit_test
TC-UT-003,verifies,REQ-APW-002,unit_test
TC-UT-003,verifies,REQ-APW-004,unit_test
TC-UT-004,verifies,REQ-APW-003,unit_test
TC-UT-005,verifies,REQ-APW-002,unit_test
TC-UT-005,verifies,REQ-APW-006,unit_test
TC-UT-006,verifies,REQ-APW-006,unit_test
TC-IT-001,verifies,REQ-APW-005,integration_test
TC-IT-001,verifies,REQ-APW-001,integration_test
TC-IT-002,verifies,REQ-APW-002,integration_test
TC-IT-002,verifies,REQ-APW-003,integration_test
TC-IT-002,verifies,REQ-APW-004,integration_test
TC-IT-003,verifies,REQ-APW-006,integration_test